accepted_plant_name_id,taxon_name,taxon_authors,cultivation.lin2019,life.form.integrated,WorldCuP.n.tdwg3,nat.extent,nat.incidence,native.global.tdwg3,planting.China.tdwg3
35360,Castanopsis wenchangensis,G.A.Fu & C.C.Huang,no,woody,0,0,0,1,0
35364,Castanopsis xichouensis,C.C.Huang & Y.T.Chang,no,woody,0,0,0,1,0
2705202,Castilleja pallida,(L.) Kunth,no,perennial herb,3,0,0,23,0
403714,Catabrosa aquatica,(L.) P.Beauv.,yes,perennial herb,13,1,1,99,1
320366,Catalpa bungei,C.A.Mey.,yes,woody,34,0,0,3,3
320398,Catalpa ovata,G.Don,yes,woody,45,19,1,7,5
36206,Catunaregam spinosa,(Thunb.) Tirveng.,yes,woody,12,0,0,18,3
232516,Caulokaempferia coenobialis,(Hance) K.Larsen,yes,perennial herb,0,0,0,1,1
2706077,Caulophyllum robustum,Maxim.,yes,perennial herb,6,0,0,13,4
232554,Cautleya gracilis,(Sm.) Dandy,yes,perennial herb,9,0,0,9,3
232562,Cautleya spicata,(Sm.) Baker,yes,perennial herb,6,0,0,7,3
3050964,Cavea tanguensis,(J.R.Drumm.) W.W.Sm. & J.Small,no,perennial herb,0,0,0,3,0
2706509,Cayratia albifolia,C.L.Li,yes,perennial herb,0,0,0,2,1
3273187,Causonis cardiospermoides,(Planch. ex Franch.) G.Parmar & L.M.Lu,no,perennial herb,0,0,0,1,0
3273181,Causonis ciliifera,(Merr.) G.Parmar & L.M.Lu,no,woody,0,0,0,2,0
2706523,Cayratia cordifolia,C.Y.Wu ex C.L.Li,no,woody,0,0,0,2,0
3243081,Causonis corniculata,(Benth.) J.Wen & L.M.Lu,yes,perennial herb,0,0,0,5,1
3273182,Causonis daliensis,(C.L.Li) G.Parmar & L.M.Lu,no,perennial herb,0,0,0,1,0
3273463,Causonis fugongensis,(C.L.Li) G.Parmar & L.M.Lu,no,perennial herb,0,0,0,1,0
2706558,Cayratia mollissima,(Wall.) Gagnep.,yes,woody,1,0,0,18,1
2706093,Causonis japonica,(Thunb.) Raf.,yes,perennial herb,4,7,1,31,3
2603902,Cayratia lanceolata,(C.L.Li) J.Wen & Z.D.Chen,no,woody,0,0,0,1,0
3273189,Causonis medoensis,(C.L.Li) G.Parmar & L.M.Lu,no,perennial herb,0,0,0,1,0
2706556,Cayratia menglaensis,C.L.Li,no,woody,0,0,0,1,0
3236862,Pseudocayratia oligocarpa,(H.Lév. & Vaniot) J.Wen & L.M.Lu,yes,perennial herb,0,0,0,3,2
2706567,Cayratia pedata,(Lam.) Juss. ex Gagnep.,no,woody,1,0,0,17,0
3273457,Causonis timoriensis,(DC.) L.M.Lu & V.C.Dang,no,woody,0,0,0,4,0
3014380,Causonis trifolia,(L.) Mabb. & J.Wen,yes,woody,6,1,1,36,2
2707406,Celastrus aculeatus,Merr.,no,woody,0,0,0,2,0
2707416,Celastrus angulatus,Maxim.,yes,woody,13,0,0,3,3
2707471,Celastrus cuneatus,(Rehder & E.H.Wilson) C.Y.Cheng & T.C.Kao,yes,woody,0,0,0,1,2
2707504,Celastrus flagellaris,Rupr.,yes,woody,10,0,0,5,3
3235400,Celastrus franchetianus,Loes.,no,woody,0,0,0,1,0
2707508,Celastrus gemmatus,Loes.,yes,woody,4,0,0,5,3
2707510,Celastrus glaucophyllus,Rehder & E.H.Wilson,yes,woody,1,0,0,4,2
2707528,Celastrus hindsii,Benth.,yes,woody,2,0,0,19,2
2707529,Celastrus hirsutus,H.F.Comber,yes,woody,0,0,0,3,1
2707531,Celastrus homaliifolius,P.S.Hsu,no,woody,0,0,0,1,0
2707532,Celastrus hookeri,Prain,yes,woody,1,0,0,8,1
3235401,Celastrus hypoleucoides,P.L.Chiu,yes,woody,0,0,0,2,1
2707536,Celastrus hypoleucus,(Oliv.) Warb. ex Loes.,yes,woody,10,0,0,3,3
2707552,Celastrus kusanoi,Hayata,yes,woody,1,0,0,3,2
2707602,Celastrus monospermus,Roxb.,yes,woody,1,0,0,12,2
2707617,Celastrus oblanceifolius,Chen H.Wang & P.C.Tsoong,yes,woody,0,0,0,1,1
2707630,Celastrus orbiculatus,Thunb.,yes,woody,29,45,1,11,6
2707638,Celastrus paniculatus,Willd.,yes,woody,6,1,1,24,3
2707662,Celastrus punctatus,Thunb.,yes,woody,2,0,0,4,4
2707689,Celastrus rosthornianus,Loes.,yes,woody,9,0,0,4,3
2707698,Celastrus rugosus,Rehder & E.H.Wilson,yes,woody,9,0,0,4,1
2707727,Celastrus stylosus,Wall.,yes,woody,3,0,0,12,2
2707736,Celastrus tonkinensis,Pit.,yes,woody,0,0,0,3,2
2707747,Celastrus vaniotii,(H.Lév.) Rehder,yes,woody,0,0,0,3,1
2707756,Celastrus virens,(F.T.Wang & T.Tang) C.Y.Cheng & T.C.Kao,yes,woody,0,0,0,1,1
2707961,Celosia taitoensis,Hayata,no,annual herb,0,0,0,1,0
2708180,Celtis biondii,Pamp.,yes,woody,11,0,0,7,4
2708196,Celtis bungeana,Blume,yes,woody,19,0,0,8,4
2708210,Celtis cerasifera,C.K.Schneid.,no,woody,0,0,0,5,0
2708212,Celtis chekiangensis,C.C.Cheng,yes,woody,1,0,0,1,1
2708312,Celtis julianae,C.K.Schneid.,yes,woody,6,0,0,3,3
2708315,Celtis koraiensis,Nakai,yes,woody,14,0,0,4,4
2708413,Celtis philippensis,Blanco,yes,woody,6,0,0,25,3
2708467,Celtis sinensis,Pers.,yes,woody,42,11,1,8,5
2708501,Celtis tetrandra,Roxb.,yes,woody,6,2,1,19,3
2708506,Celtis timorensis,Span.,yes,woody,4,0,0,23,2
2708521,Celtis vandervoetiana,C.K.Schneid.,yes,woody,1,0,0,2,2
3049522,Centaurea glastifolia,L.,no,NA,14,2,1,13,0
3049683,Centaurea iberica,Trevir. ex Spreng.,yes,perennial herb,5,10,1,29,2
3050492,Centaurea pulchella,Ledeb.,yes,annual herb,3,0,0,13,2
2589597,Schenkia japonica,(Maxim.) G.Mans.,no,annual herb,0,0,0,3,0
2708736,Centaurium pulchellum,"(Sw.) Hayek ex Hand.-Mazz., Stadlm., Janch. & Faltis",no,annual herb,8,44,1,83,0
2708815,Centella asiatica,(L.) Urb.,yes,perennial herb,28,23,1,100,4
2901521,Centipeda minima,(L.) A.Braun & Asch.,yes,annual herb,3,9,1,45,5
404042,Centotheca lappacea,(L.) Desv.,yes,perennial herb,4,0,0,61,2
2708961,Centranthera cochinchinensis,(Lour.) Merr.,yes,annual herb,0,0,0,14,2
2708966,Centranthera grandiflora,Benth.,yes,annual herb,0,0,0,9,1
2708982,Centranthera tranquebarica,(Biehler) Merr.,yes,annual herb,0,0,0,15,1
232580,Centrolepis banksii,(R.Br.) Roem. & Schult.,no,annual herb,0,0,0,7,0
36658,Cephalanthera longifolia,(L.) Fritsch,yes,perennial herb,9,0,0,61,1
36626,Cephalanthera calcarata,S.C.Chen & K.Y.Lang,no,perennial herb,0,0,0,1,0
36635,Cephalanthera damasonium,(Mill.) Druce,no,perennial herb,4,0,0,39,0
36642,Cephalanthera erecta,(Thunb.) Blume,yes,perennial herb,0,0,0,9,1
36647,Cephalanthera falcata,(Thunb.) Blume,yes,perennial herb,1,0,0,4,2
468994,Cephalanthera humilis,X.H.Jin,no,perennial herb,0,0,0,1,0
36657,Cephalanthera longibracteata,Blume,yes,perennial herb,1,0,0,7,2
30260,Calanthe kooshunensis,Fukuy.,yes,perennial herb,0,0,0,2,2
546784,Calanthe obcordata,"(Lindl.) M.W.Chase, Christenh. & Schuit.",yes,perennial herb,2,0,0,14,2
36744,Cephalanthus tetrandrus,(Roxb.) Ridsdale & Bakh.f.,yes,woody,2,0,0,13,4
36791,Cephalomappa sinensis,(Chun & F.C.How) Kosterm.,yes,woody,0,0,0,3,3
450764,Cephalostachyum chinense,(Rendle) D.Z.Li & H.Q.Yang,yes,woody,0,0,0,1,2
404078,Cephalostachyum latifolium,Munro,yes,woody,0,0,0,6,2
404081,Cephalostachyum mannii,(Gamble) Stapleton,yes,woody,0,0,0,3,1
404083,Cephalostachyum pallidum,Munro,yes,woody,0,0,0,4,1
441549,Schizostachyum pergracile,(Munro) R.B.Majumdar,yes,woody,7,0,0,7,4
404087,Cephalostachyum scandens,Bor,yes,woody,0,0,0,2,2
441574,Schizostachyum virgatum,(Munro) H.B.Naithani & Bennet,yes,woody,1,0,0,5,3
